Rank,Title,Year,Rating,Run Time (min),Genre
72,Idi i smotri,1985,8.4,142,"Drama, Thriller, War"
73,Memento,2000,8.4,113,"Mystery, Thriller"
74,Braveheart,1995,8.4,178,"Biography, Drama, History"
75,Amadeus,1984,8.4,160,"Biography, Drama, Music"
76,Coco(I),I 2017,8.4,105,"Animation, Adventure, Comedy"
77,WALL·E,2008,8.4,98,"Animation, Adventure, Family"
78,The Lives of Others,2006,8.4,137,"Drama, Mystery, Thriller"
79,3 Idiots,2009,8.4,170,"Comedy, Drama"
80,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,95,"Comedy, War"
81,Capharnaüm,2018,8.4,126,Drama
82,Sunset Blvd.,1950,8.4,110,"Drama, Film-Noir"
83,Das Boot,1981,8.4,149,"Drama, War"
84,Witness for the Prosecution,1957,8.4,116,"Crime, Drama, Mystery"
85,Paths of Glory,1957,8.4,88,"Drama, War"
86,The Great Dictator,1940,8.4,125,"Comedy, Drama, War"
87,Tengoku to jigoku,1963,8.4,143,"Crime, Drama, Mystery"
88,Sardar Udham,2021,8.4,164,"Biography, Crime, Drama"
89,Asuran,2019,8.4,141,"Action, Drama"
90,Drishyam 2,2021,8.4,152,"Crime, Drama, Thriller"
91,Top Gun: Maverick,2022,8.3,130,"Action, Drama"
92,Good Will Hunting,1997,8.3,126,"Drama, Romance"
93,Inglourious Basterds,2009,8.3,153,"Adventure, Drama, War"
94,Heat,1995,8.3,170,"Action, Crime, Drama"
95,Requiem for a Dream,2000,8.3,102,Drama
96,American Beauty,1999,8.3,122,Drama
97,A Clockwork Orange,1971,8.3,136,"Crime, Sci-Fi"
98,Scarface,1983,8.3,170,"Crime, Drama"
99,Full Metal Jacket,1987,8.3,116,"Drama, War"
100,2001: A Space Odyssey,1968,8.3,149,"Adventure, Sci-Fi"
101,Eternal Sunshine of the Spotless Mind,2004,8.3,108,"Drama, Romance, Sci-Fi"
102,Once Upon a Time in America,1984,8.3,229,"Crime, Drama"
103,Star Wars: Episode VI - Return of the Jedi,1983,8.3,131,"Action, Adventure, Fantasy"
104,Reservoir Dogs,1992,8.3,99,"Crime, Thriller"
105,Jagten,2012,8.3,115,Drama
106,Hamilton,2020,8.3,160,"Biography, Drama, History"
107,Toy Story,1995,8.3,81,"Animation, Adventure, Comedy"
108,Up,2009,8.3,96,"Animation, Adventure, Comedy"
109,Le fabuleux destin d'Amélie Poulain,2001,8.3,122,"Comedy, Romance"
110,Citizen Kane,1941,8.3,119,"Drama, Mystery"
111,Incendies,2010,8.3,131,"Drama, Mystery"
112,Lawrence of Arabia,1962,8.3,218,"Adventure, Biography, Drama"
113,Mononoke-hime,1997,8.3,134,"Animation, Action, Adventure"
114,Toy Story 3,2010,8.3,103,"Animation, Adventure, Comedy"
115,The Sting,1973,8.3,129,"Comedy, Crime, Drama"
116,Vertigo,1958,8.3,128,"Mystery, Romance, Thriller"
117,To Kill a Mockingbird,1962,8.3,129,"Crime, Drama"
118,North by Northwest,1959,8.3,136,"Action, Adventure, Mystery"
119,Metropolis,1927,8.3,153,"Drama, Sci-Fi"
120,Singin' in the Rain,1952,8.3,103,"Comedy, Musical, Romance"
121,Jodaeiye Nader az Simin,2011,8.3,123,Drama
122,Dangal,2016,8.3,161,"Action, Biography, Drama"
123,Kantara,2022,8.3,148,"Action, Adventure, Drama"
124,Ikiru,1952,8.3,143,Drama
125,M - Eine Stadt sucht einen Mörder,1931,8.3,117,"Crime, Mystery, Thriller"
126,The Apartment,1960,8.3,125,"Comedy, Drama, Romance"
127,Judgment at Nuremberg,1961,8.3,179,"Drama, War"
